"","addr_pct_cd","ASSAULT","ROBBERY","SEXUALCRIME","FRAUD","HARASSMENT","OTHERS","All"
"1",1,567,917,91,53,429,218,2275
"2",10,587,875,52,30,478,252,2274
"3",100,337,411,32,29,424,357,1590
"4",101,662,607,81,13,690,516,2569
"5",102,916,1230,108,24,794,671,3743
"6",103,1491,1511,177,27,724,884,4814
"7",104,902,1413,100,32,725,669,3841
"8",105,1246,1579,91,81,1112,855,4964
"9",106,987,1397,120,23,833,716,4076
"10",107,768,1584,75,56,734,640,3857
"11",108,769,1334,85,57,757,570,3572
"12",109,998,2510,113,84,996,901,5602
"13",110,1341,1874,199,24,864,750,5052
"14",111,336,1206,20,51,389,322,2324
"15",112,331,845,42,42,425,298,1983
"16",113,1124,1221,111,57,903,839,4255
"17",114,1506,1828,117,59,1358,906,5774
"18",115,1215,1733,163,61,858,685,4715
"19",120,1326,959,89,91,1202,746,4413
"20",121,915,878,56,104,935,514,3402
"21",122,526,811,51,104,777,442,2711
"22",123,329,524,20,80,376,211,1540
"23",13,682,1204,91,38,526,219,2760
"24",14,1261,1924,157,12,724,297,4375
"25",17,347,716,50,37,401,135,1686
"26",18,754,1235,82,34,679,232,3016
"27",19,595,1628,68,106,652,315,3364
"28",20,360,916,52,50,449,204,2031
"29",22,38,50,13,0,29,17,147
"30",23,1183,998,88,48,889,445,3651
"31",24,546,1075,44,36,522,269,2492
"32",25,1022,1037,71,22,650,496,3298
"33",26,377,608,38,10,312,191,1536
"34",28,752,784,56,19,476,320,2407
"35",30,701,812,65,44,505,307,2434
"36",32,1194,904,94,18,900,509,3619
"37",33,689,848,53,22,491,291,2394
"38",34,933,1312,51,33,650,369,3348
"39",40,1994,1657,119,29,1097,883,5779
"40",41,1090,897,123,22,756,379,3267
"41",42,1796,1437,108,18,1297,688,5344
"42",43,2067,2203,121,43,1469,816,6719
"43",44,2405,2181,145,32,1309,800,6872
"44",45,931,1146,70,54,749,416,3366
"45",46,1804,1223,99,20,1236,687,5069
"46",47,2118,1870,146,42,1599,961,6736
"47",48,1778,1325,92,24,1005,634,4858
"48",49,932,1380,69,16,936,624,3957
"49",5,529,854,83,18,328,276,2088
"50",50,737,1142,42,65,687,347,3020
"51",52,1486,1505,108,26,903,613,4641
"52",6,581,1434,49,27,387,203,2681
"53",60,1042,1239,58,31,807,681,3858
"54",61,774,1327,55,61,558,488,3263
"55",62,748,1366,72,69,853,538,3646
"56",63,494,793,37,49,594,401,2368
"57",66,570,1160,76,65,472,415,2758
"58",67,1471,1473,112,61,1436,956,5509
"59",68,482,1041,47,70,436,372,2448
"60",69,720,601,49,18,621,465,2474
"61",7,709,1044,48,25,579,385,2790
"62",70,1092,1238,89,54,788,582,3843
"63",71,1045,1144,64,48,1112,591,4004
"64",72,791,1352,75,36,516,456,3226
"65",73,1694,1156,99,39,1374,928,5290
"66",75,2638,2811,160,63,1731,1575,8978
"67",76,326,504,18,9,234,203,1294
"68",77,1020,1169,83,34,806,591,3703
"69",78,475,811,58,19,487,225,2075
"70",79,1083,1112,65,26,930,597,3813
"71",81,788,984,44,35,572,468,2891
"72",83,1012,1539,91,28,822,609,4101
"73",84,518,820,51,26,510,263,2188
"74",88,605,699,31,18,518,309,2180
"75",9,723,1419,87,24,528,262,3043
"76",90,842,1349,60,46,701,544,3542
"77",94,472,955,35,31,461,330,2284
